INFO:root:time: 2.77 mins, modality: none, composite: 75.15%
INFO:root:time: 2.78 mins, modality: none, composite: 83.41%
INFO:root:time: 2.79 mins, modality: none, composite: 83.73%
INFO:root:time: 2.80 mins, modality: none, composite: 81.36%
INFO:root:time: 2.81 mins, modality: none, composite: 83.16%
INFO:root:time: 2.82 mins, modality: none, composite: 86.75%
INFO:root:time: 2.83 mins, modality: none, composite: 90.13%
INFO:root:time: 2.84 mins, modality: none, composite: 90.93%
INFO:root:time: 2.85 mins, modality: none, composite: 89.57%
INFO:root:time: 2.86 mins, modality: none, composite: 89.42%
INFO:root:time: 2.87 mins, modality: none, composite: 89.80%
INFO:root:time: 2.88 mins, modality: none, composite: 90.72%
INFO:root:time: 2.89 mins, modality: none, composite: 92.45%
INFO:root:time: 2.90 mins, modality: none, composite: 93.13%
INFO:root:time: 2.91 mins, modality: none, composite: 93.11%
INFO:root:time: 2.92 mins, modality: none, composite: 92.41%
INFO:root:time: 2.93 mins, modality: none, composite: 90.99%
INFO:root:time: 2.94 mins, modality: none, composite: 90.55%
INFO:root:time: 2.95 mins, modality: none, composite: 85.64%
INFO:root:time: 2.96 mins, modality: none, composite: 86.44%
INFO:root:time: 2.97 mins, modality: none, composite: 87.22%
INFO:root:time: 2.98 mins, modality: none, composite: 88.67%
INFO:root:time: 2.99 mins, modality: none, composite: 90.07%
INFO:root:time: 3.00 mins, modality: none, composite: 92.16%
INFO:root:time: 4.00 mins, modality: none, composite: 85.12%
INFO:root:time: 4.02 mins, modality: none, composite: 85.19%
INFO:root:time: 4.03 mins, modality: none, composite: 85.17%
INFO:root:time: 4.04 mins, modality: none, composite: 85.23%
INFO:root:time: 4.05 mins, modality: none, composite: 84.73%
INFO:root:time: 4.06 mins, modality: none, composite: 84.43%
INFO:root:time: 4.07 mins, modality: none, composite: 83.95%
INFO:root:time: 4.08 mins, modality: none, composite: 83.50%
INFO:root:time: 4.10 mins, modality: none, composite: 83.51%
INFO:root:time: 4.11 mins, modality: none, composite: 83.34%
INFO:root:time: 4.12 mins, modality: none, composite: 84.12%
INFO:root:time: 4.13 mins, modality: none, composite: 83.76%
INFO:root:time: 4.14 mins, modality: none, composite: 81.51%
INFO:root:time: 4.15 mins, modality: none, composite: 80.83%
INFO:root:time: 4.16 mins, modality: none, composite: 80.22%
INFO:root:time: 4.17 mins, modality: none, composite: 81.20%
INFO:root:time: 4.18 mins, modality: none, composite: 82.95%
INFO:root:time: 4.19 mins, modality: none, composite: 83.55%
INFO:root:time: 4.20 mins, modality: none, composite: 83.98%
INFO:root:time: 4.21 mins, modality: none, composite: 83.03%
INFO:root:time: 4.22 mins, modality: none, composite: 81.84%
INFO:root:time: 4.23 mins, modality: none, composite: 81.65%
INFO:root:time: 4.23 mins, modality: none, composite: 81.01%
INFO:root:time: 4.24 mins, modality: none, composite: 82.59%
INFO:root:time: 4.25 mins, modality: none, composite: 82.89%
INFO:root:time: 4.27 mins, modality: none, composite: 83.04%
INFO:root:time: 4.27 mins, modality: none, composite: 83.84%
INFO:root:time: 4.28 mins, modality: none, composite: 83.74%
INFO:root:time: 4.29 mins, modality: none, composite: 83.81%
INFO:root:time: 4.30 mins, modality: none, composite: 83.71%
INFO:root:time: 4.31 mins, modality: none, composite: 83.79%
INFO:root:time: 4.32 mins, modality: none, composite: 84.20%
INFO:root:time: 4.33 mins, modality: none, composite: 84.73%
INFO:root:time: 4.34 mins, modality: none, composite: 84.95%
INFO:root:time: 4.35 mins, modality: none, composite: 84.71%
INFO:root:time: 4.36 mins, modality: none, composite: 85.23%
INFO:root:time: 4.37 mins, modality: none, composite: 85.25%
INFO:root:time: 4.38 mins, modality: none, composite: 84.86%
INFO:root:time: 4.39 mins, modality: none, composite: 84.85%
INFO:root:time: 4.40 mins, modality: none, composite: 85.52%
INFO:root:time: 4.41 mins, modality: none, composite: 86.54%
INFO:root:time: 4.42 mins, modality: none, composite: 85.59%
INFO:root:time: 4.43 mins, modality: none, composite: 83.24%
INFO:root:time: 4.44 mins, modality: none, composite: 83.73%
INFO:root:time: 4.45 mins, modality: none, composite: 83.67%
INFO:root:time: 4.46 mins, modality: none, composite: 85.17%
INFO:root:time: 4.47 mins, modality: none, composite: 82.62%
INFO:root:time: 4.48 mins, modality: none, composite: 81.02%
INFO:root:time: 4.49 mins, modality: none, composite: 82.17%
INFO:root:time: 4.50 mins, modality: none, composite: 81.34%
INFO:root:time: 4.51 mins, modality: none, composite: 82.68%
INFO:root:time: 4.52 mins, modality: none, composite: 84.29%
INFO:root:time: 4.53 mins, modality: none, composite: 84.86%
INFO:root:time: 4.54 mins, modality: none, composite: 87.88%
INFO:root:time: 4.55 mins, modality: none, composite: 88.50%
INFO:root:time: 4.56 mins, modality: none, composite: 86.23%
INFO:root:time: 4.57 mins, modality: none, composite: 86.04%
INFO:root:time: 4.58 mins, modality: none, composite: 83.82%
INFO:root:time: 4.59 mins, modality: none, composite: 81.23%
INFO:root:time: 4.60 mins, modality: none, composite: 79.58%
INFO:root:time: 4.62 mins, modality: none, composite: 80.64%
INFO:root:time: 4.63 mins, modality: none, composite: 84.43%
INFO:root:time: 4.64 mins, modality: none, composite: 89.11%
INFO:root:time: 4.65 mins, modality: none, composite: 91.25%
INFO:root:time: 4.66 mins, modality: none, composite: 92.18%
INFO:root:time: 4.67 mins, modality: none, composite: 91.96%
INFO:root:time: 4.68 mins, modality: none, composite: 91.31%
INFO:root:time: 4.69 mins, modality: none, composite: 91.66%
INFO:root:time: 4.70 mins, modality: none, composite: 91.27%
INFO:root:time: 4.71 mins, modality: none, composite: 92.36%
INFO:root:time: 4.72 mins, modality: none, composite: 90.48%
INFO:root:time: 4.73 mins, modality: none, composite: 90.07%
INFO:root:time: 4.74 mins, modality: none, composite: 90.18%
INFO:root:time: 4.75 mins, modality: none, composite: 93.42%
INFO:root:time: 4.76 mins, modality: none, composite: 96.69%
INFO:root:time: 4.77 mins, modality: none, composite: 90.07%
INFO:root:time: 4.78 mins, modality: none, composite: 90.74%
INFO:root:time: 4.79 mins, modality: none, composite: 85.05%
INFO:root:time: 4.80 mins, modality: none, composite: 88.07%
INFO:root:time: 4.81 mins, modality: none, composite: 73.37%
INFO:root:time: 4.82 mins, modality: none, composite: 74.24%
INFO:root:time: 4.83 mins, modality: none, composite: 77.00%
INFO:root:time: 4.84 mins, modality: none, composite: 78.47%
INFO:root:time: 4.85 mins, modality: none, composite: 75.43%
INFO:root:time: 4.86 mins, modality: none, composite: 73.75%
INFO:root:time: 4.86 mins, modality: none, composite: 80.03%
INFO:root:time: 4.87 mins, modality: none, composite: 81.81%
INFO:root:time: 4.88 mins, modality: none, composite: 78.78%
INFO:root:time: 4.89 mins, modality: none, composite: 80.79%
INFO:root:time: 4.90 mins, modality: none, composite: 80.36%
INFO:root:time: 4.91 mins, modality: none, composite: 82.11%
INFO:root:time: 4.92 mins, modality: none, composite: 82.45%
INFO:root:time: 4.93 mins, modality: none, composite: 82.91%
INFO:root:time: 4.94 mins, modality: none, composite: 82.68%
INFO:root:time: 4.95 mins, modality: none, composite: 81.45%
INFO:root:time: 4.96 mins, modality: none, composite: 80.25%
INFO:root:time: 4.97 mins, modality: none, composite: 82.65%
INFO:root:time: 4.98 mins, modality: none, composite: 84.10%
INFO:root:time: 4.99 mins, modality: none, composite: 85.20%
INFO:root:time: 5.00 mins, modality: none, composite: 83.77%
INFO:root:time: 6.00 mins, modality: ding, composite: 97.12%
INFO:root:time: 6.01 mins, modality: ding, composite: 67.63%
INFO:root:time: 6.02 mins, modality: ding, composite: 68.63%
INFO:root:time: 6.03 mins, modality: ding, composite: 77.19%
INFO:root:time: 6.04 mins, modality: ding, composite: 75.95%
INFO:root:time: 6.05 mins, modality: ding, composite: 69.01%
INFO:root:time: 6.06 mins, modality: ding, composite: 54.86%
